Company
ABB Ltd (SWX:ABBN)
Smiths Group plc (LSE:SMIN)
Schindler Holding AG (SWX:SCHN)
thyssenkrupp AG (XTRA:TKA)
OMRON Corporation (TSE:6645)
Toshiba Corporation (TSE:6502)
Mitsubishi Electric Corporation (TSE:6503)
Dassault Aviation société anonyme (ENXTPA:AM)
DENSO Corporation (TSE:6902)
BAE Systems plc (LSE:BA.)
"Fuji Electric Co., Ltd. (TSE:6504)"
Nikon Corporation (TSE:7731)
"Casio Computer Co.,Ltd. (TSE:6952)"
"Konica Minolta, Inc. (TSE:4902)"
GEA Group Aktiengesellschaft (XTRA:G1A)
"Oki Electric Industry Co., Ltd. (TSE:6703)"
SEB SA (ENXTPA:SK)
Fanuc Corporation (TSE:6954)
Shimadzu Corporation (TSE:7701)
"Alps Alpine Co., Ltd. (TSE:6770)"
JVCKENWOOD Corporation (TSE:6632)
Agfa-Gevaert NV (ENXTBR:AGFB)
Aisin Corporation (TSE:7259)
Safran SA (ENXTPA:SAF)
Yamaha Corporation (TSE:7951)
Advantest Corporation (TSE:6857)
Yokogawa Electric Corporation (TSE:6841)
"Daikin Industries,Ltd. (TSE:6367)"
"Nintendo Co., Ltd. (TSE:7974)"
HELLA GmbH & Co. KGaA (XTRA:HLE)
LG Electronics Inc. (KOSE:A066570)
Techtronic Industries Company Limited (SEHK:669)
Endress+Hauser AG
Acer Incorporated (TWSE:2353)
JTEKT Corporation (TSE:6473)
"Samsung SDI Co., Ltd. (KOSE:A006400)"
"HORIBA, Ltd. (TSE:6856)"
Nihon Kohden Corporation (TSE:6849)
Anritsu Corporation (TSE:6754)
"Delta Electronics, Inc. (TWSE:2308)"
Lite-On Technology Corporation (TWSE:2301)
Sonova Holding AG (SWX:SOON)
"Konka Group Co., Ltd. (SZSE:000016)"
GN Store Nord A/S (CPSE:GN)
Honeywell International Inc. (NasdaqGS:HON)
HannStar Display Corporation (TWSE:6116)
Knorr-Bremse AG (XTRA:KBX)
AUO Corporation (TWSE:2409)
Skyworth Group Limited (SEHK:751)
Hanwha Corporation (KOSE:A000880)
Arçelik Anonim Sirketi (IBSE:ARCLK)
"Hyundai Mobis Co.,Ltd (KOSE:A012330)"
International Game Technology PLC (NYSE:IGT)
Vestel Elektronik Sanayi ve Ticaret Anonim Sirketi (IBSE:VESTL)
ZTE Corporation (SZSE:000063)
Seagate Technology Holdings plc (NasdaqGS:STX)
Seiko Epson Corporation (TSE:6724)
Heidelberg Materials AG (XTRA:HEI)
"LG Display Co., Ltd. (KOSE:A034220)"
"Tatung Co., Ltd. (TWSE:2371)"
Legrand SA (ENXTPA:LR)
"Sichuan Changhong Electric Co.,Ltd. (SHSE:600839)"
"Brother Industries, Ltd. (TSE:6448)"
TomTom N.V. (ENXTAM:TOM2)
"Micro-Star International Co., Ltd. (TWSE:2377)"
HTC Corporation (TWSE:2498)
TCL Technology Group Corporation (SZSE:000100)
Nabtesco Corporation (TSE:6268)
"Gree Electric Appliances, Inc. of Zhuhai (SZSE:000651)"
Inspur Digital Enterprise Technology Limited (SEHK:596)
Coolpad Group Limited (OTCPK:CHWT.F)
"Meta Platforms, Inc. (NasdaqGS:META)"
"Tesla, Inc. (NasdaqGS:TSLA)"
Pantech Group Holdings Berhad (KLSE:PANTECH)
"Dinglong Culture Co.,Ltd. (SZSE:002502)"
"Midea Group Co., Ltd. (SZSE:000333)"
Aptiv PLC (NYSE:APTV)
"Humax Co., Ltd. (KOSDAQ:A115160)"
"Hangzhou Hikvision Digital Technology Co., Ltd. (SZSE:002415)"
Ningbo Joyson Electronic Corp. (SHSE:600699)
Xylem Inc. (NYSE:XYL)
MiTAC Holdings Corporation (TWSE:3706)
"Keysight Technologies, Inc. (NYSE:KEYS)"
HL Mando Corporation (KOSE:A204320)
Hewlett Packard Enterprise Company (NYSE:HPE)
Fortive Corporation (NYSE:FTV)
Xiaomi Corporation (SEHK:1810)
Adient plc (NYSE:ADNT)
"Resideo Technologies, Inc. (NYSE:REZI)"
"Shenzhen Transsion Holdings Co., Ltd. (SHSE:688036)"
