,CompanySpend
514,0.0445999999999998
515,0.028202621305075
518,0.4806594360623297
519,0.5533719342896806
520,0.6003
521,0.8322999999999999
522,0.4262396170291874
525,0.0127
526,0.0093999999999999
527,0.0129
528,0.0179
529,0.0167
532,0.049212121212121
533,0.0271136507936506
534,0.0483999999999997
535,0.0810156087408946
536,0.0871883367139957
539,0.0067878787878784
540,0.004286349206349
541,0.0064999999999999
542,0.014984391259105
543,0.0115116632860039
546,1.0225
547,1.7825940980837252
548,1.9045999999999996
549,2.23520900097704
550,1.1941
553,0.2065999999999997
554,0.1118059019162749
555,0.0759999999999998
556,0.2210909990229602
557,0.2489999999999997
560,0.8733070158102765
561,0.5572964091957575
562,0.6401965434391753
563,1.2283
564,1.1475999999999995
567,0.7938063771329412
568,0.996793577402353
569,0.8254955429694459
570,1.0887
571,0.6600999999999998
574,4.261034231498441
575,5.235066269120243
576,8.679153139358469
577,16.7304
578,11.6591
581,0.514604134130274
582,0.6428958576564734
583,0.5701969213824082
584,0.5914999999999999
585,0.4696999999999998
588,6.004948241428067
589,8.088047886625175
590,7.806157852850501
591,10.8228
592,6.221299999999999
595,0.0963
596,0.0846
597,0.1055
598,0.1432
599,0.1428
602,0.2762999999999998
603,0.1737759842519683
604,0.2815211204481792
605,0.4241999999999998
606,0.4349232127096203
609,0.0751999999999998
610,0.0549240157480312
611,0.0753788795518205
612,0.1560999999999998
613,0.1314767872903793
616,2.5963
617,2.6629
618,2.0095
619,2.8903
620,2.8441
623,91.3842
624,81.6659
625,66.9513
626,80.2717
627,92.1786
630,2.0396
631,2.3680000000000003
632,1.8755
633,3.0345
634,3.5485
637,1.8046
638,2.033
639,1.4887
640,1.9261
641,2.1025
644,9.126
645,10.9258
646,9.2655
647,13.0689
648,15.1917
658,13.2541
659,11.3792
660,10.6285
661,17.8465
662,16.6208
672,7.0495
673,6.0908
674,5.7448
675,9.9142
676,10.3233
686,17.642300000000002
687,15.165500000000002
688,14.0973
689,25.5976
690,26.2481
700,5.6886
701,4.855300000000001
702,4.6081
703,7.5801
704,7.8019
714,8.6405
715,7.4481
716,7.1386
717,11.7416
718,12.1679
721,1.9809
722,1.292245350361568
723,1.3086000000000002
724,1.7659999999999998
725,1.6719999999999997
728,1.3453
729,1.0723546496384315
730,1.0951
731,1.3321999999999998
732,1.2577999999999998
735,4.1721
736,2.8406999999999996
737,2.7691000000000003
738,3.526499999999999
739,3.3231662909692994
742,6.894999999999999
743,5.4288
744,5.749300000000001
745,6.5901000000000005
746,6.702833709030701
749,2.5831999999999997
750,1.712722265589543
751,1.7185226657067003
752,2.5784
753,2.3979303048798215
756,0.6347
