,Device,Market,SubMarket,Spendings,DevSpends,MarketSpends,SubMarketSpends,Cogs,Cogs_1,Cogs_2,Revenue,Revenue_1,Revenue_2,Ebitda,Ebitda_1,Ebitda_2,Value
11497,Data Converters,Industrial,Other Industrial,990.197,213571.909,898036.093,664308.393,3637.44,3083.77,3368.06,1374.6,6471.6,7026.3,1634.3,1374.6,1531.9,1.2348
11498,Data Converters,Industrial,Other Industrial,1105.668,241131.863,1010453.11,749997.384,4434.37,3637.44,3083.77,8848.2,1374.6,6471.6,1812.2,1634.3,1374.6,1.4571
11501,Data Converters,Industrial,Power & Energy,119.008,167391.241,744408.882,59122.3,3035.11,2760.66,2518.24,6363.1,5857.6,5325.1,1424.6,1311.7,1144.3,0.3371999999999999
11502,Data Converters,Industrial,Power & Energy,113.378,156523.044,694336.713,56477.645,3368.06,3035.11,2760.66,7026.3,6363.1,5857.6,1531.9,1424.6,1311.7,0.3644595404595402
11503,Data Converters,Industrial,Power & Energy,113.54,154996.351,715358.27,58137.779,3083.77,3368.06,3035.11,6471.6,7026.3,6363.1,1374.6,1531.9,1424.6,0.3674999999999998
11504,Data Converters,Industrial,Power & Energy,134.12,213571.909,898036.093,67325.066,3637.44,3083.77,3368.06,1374.6,6471.6,7026.3,1634.3,1374.6,1531.9,0.4278999999999999
11505,Data Converters,Industrial,Power & Energy,133.69,241131.863,1010453.11,73245.44499999999,4434.37,3637.44,3083.77,8848.2,1374.6,6471.6,1812.2,1634.3,1374.6,0.4387999999999999
11508,Data Converters,Wireless Communications,Infrastructure,182.172,167391.241,746450.838,93370.407,3035.11,2760.66,2518.24,6363.1,5857.6,5325.1,1424.6,1311.7,1144.3,0.4841
11509,Data Converters,Wireless Communications,Infrastructure,165.066,156523.044,696220.217,103327.068,3368.06,3035.11,2760.66,7026.3,6363.1,5857.6,1531.9,1424.6,1311.7,0.376
11510,Data Converters,Wireless Communications,Infrastructure,175.002,154996.351,798162.05,123825.195,3083.77,3368.06,3035.11,6471.6,7026.3,6363.1,1374.6,1531.9,1424.6,0.3677
11511,Data Converters,Wireless Communications,Infrastructure,162.0,213571.909,1019653.858,143949.03900000002,3637.44,3083.77,3368.06,1374.6,6471.6,7026.3,1634.3,1374.6,1531.9,0.4123
11512,Data Converters,Wireless Communications,Infrastructure,188.0,241131.863,1148735.868,156351.195,4434.37,3637.44,3083.77,8848.2,1374.6,6471.6,1812.2,1634.3,1374.6,0.4386
11515,Interface,Industrial,Other Industrial,1010.663,155621.654,744408.882,537753.4349999999,3035.11,2760.66,2518.24,6363.1,5857.6,5325.1,1424.6,1311.7,1144.3,4.1693
11516,Interface,Industrial,Other Industrial,947.151,148452.552,694336.713,499930.428,3368.06,3035.11,2760.66,7026.3,6363.1,5857.6,1531.9,1424.6,1311.7,4.219799999999999
11517,Interface,Industrial,Other Industrial,1003.003,158114.629,715358.27,522714.498,3083.77,3368.06,3035.11,6471.6,7026.3,6363.1,1374.6,1531.9,1424.6,4.349270229944451
11518,Interface,Industrial,Other Industrial,1156.998,194289.837,898036.093,664308.393,3637.44,3083.77,3368.06,1374.6,6471.6,7026.3,1634.3,1374.6,1531.9,5.363128176558818
11519,Interface,Industrial,Other Industrial,1260.002,217039.34,1010453.11,749997.384,4434.37,3637.44,3083.77,8848.2,1374.6,6471.6,1812.2,1634.3,1374.6,6.5175
11522,Interface,Industrial,Power & Energy,523.576,155621.654,744408.882,59122.3,3035.11,2760.66,2518.24,6363.1,5857.6,5325.1,1424.6,1311.7,1144.3,1.4834000000000005
11523,Interface,Industrial,Power & Energy,536.513,148452.552,694336.713,56477.645,3368.06,3035.11,2760.66,7026.3,6363.1,5857.6,1531.9,1424.6,1311.7,1.7247
11524,Interface,Industrial,Power & Energy,569.0,158114.629,715358.27,58137.779,3083.77,3368.06,3035.11,6471.6,7026.3,6363.1,1374.6,1531.9,1424.6,1.843629770055548
11525,Interface,Industrial,Power & Energy,659.0,194289.837,898036.093,67325.066,3637.44,3083.77,3368.06,1374.6,6471.6,7026.3,1634.3,1374.6,1531.9,2.103971823441183
11526,Interface,Industrial,Power & Energy,711.0,217039.34,1010453.11,73245.44499999999,4434.37,3637.44,3083.77,8848.2,1374.6,6471.6,1812.2,1634.3,1374.6,2.3559
11529,Interface,Wireless Communications,Infrastructure,7.34,155621.654,746450.838,93370.407,3035.11,2760.66,2518.24,6363.1,5857.6,5325.1,1424.6,1311.7,1144.3,0.0247
11530,Interface,Wireless Communications,Infrastructure,6.198,148452.552,696220.217,103327.068,3368.06,3035.11,2760.66,7026.3,6363.1,5857.6,1531.9,1424.6,1311.7,0.0177
11531,Interface,Wireless Communications,Infrastructure,8.0,158114.629,798162.05,123825.195,3083.77,3368.06,3035.11,6471.6,7026.3,6363.1,1374.6,1531.9,1424.6,0.0201
11532,Interface,Wireless Communications,Infrastructure,10.0,194289.837,1019653.858,143949.03900000002,3637.44,3083.77,3368.06,1374.6,6471.6,7026.3,1634.3,1374.6,1531.9,0.0322999999999999
11533,Interface,Wireless Communications,Infrastructure,11.001,217039.34,1148735.868,156351.195,4434.37,3637.44,3083.77,8848.2,1374.6,6471.6,1812.2,1634.3,1374.6,0.0351
11536,Voltage Regulator/Reference,Industrial,Other Industrial,1633.035,426191.674,744408.882,537753.4349999999,3035.11,2760.66,2518.24,6363.1,5857.6,5325.1,1424.6,1311.7,1144.3,6.767800000000001
11537,Voltage Regulator/Reference,Industrial,Other Industrial,1531.967,428609.532,694336.713,499930.428,3368.06,3035.11,2760.66,7026.3,6363.1,5857.6,1531.9,1424.6,1311.7,6.842221737887177
11538,Voltage Regulator/Reference,Industrial,Other Industrial,1657.6,459595.802,715358.27,522714.498,3083.77,3368.06,3035.11,6471.6,7026.3,6363.1,1374.6,1531.9,1424.6,7.366020906035584
11539,Voltage Regulator/Reference,Industrial,Other Industrial,2011.997,592814.876,898036.093,664308.393,3637.44,3083.77,3368.06,1374.6,6471.6,7026.3,1634.3,1374.6,1531.9,9.085780059390062
