,Device,Market,SubMarket,Spendings,DevSpends,MarketSpends,SubMarketSpends,Cogs,Cogs_1,Cogs_2,Revenue,Revenue_1,Revenue_2,Ebitda,Ebitda_1,Ebitda_2,Value
12540,Interface,Automotive,Auto Infotainment,0.0,49761.951,69250.263,47488.543000000005,4293.0,3941.0,3854.0,8696.0,8040.0,7794.0,2568.0,2368.0,2199.0,0.0
12541,Interface,Automotive,Auto Infotainment,0.0,53667.156,89681.767,62153.99700000001,4482.0,4293.0,3941.0,9003.0,8696.0,8040.0,2636.0,2568.0,2368.0,0.0
12544,Interface,Consumer,Audio,0.0,40841.875,0.0,0.0,2710.0,2555.0,2460.24,5771.0,5425.0,5017.2,2100.0,1985.0,1747.0,0.0040999999999999
12545,Interface,Consumer,Audio,0.0,38870.652,0.0,0.0,3854.0,2710.0,2555.0,7794.0,5771.0,5425.0,2199.0,2100.0,1985.0,0.0045
12546,Interface,Consumer,Audio,0.0,40817.136,0.0,0.0,3941.0,3854.0,2710.0,8040.0,7794.0,5771.0,2368.0,2199.0,2100.0,0.0045
12547,Interface,Consumer,Audio,0.0,49761.951,0.0,0.0,4293.0,3941.0,3854.0,8696.0,8040.0,7794.0,2568.0,2368.0,2199.0,0.0057
12548,Interface,Consumer,Audio,0.0,53667.156,0.0,0.0,4482.0,4293.0,3941.0,9003.0,8696.0,8040.0,2636.0,2568.0,2368.0,0.0071
12551,Voltage Regulator/Reference,Automotive,Auto Infotainment,192.716,101291.063,54238.251,40999.701,2710.0,2555.0,2460.24,5771.0,5425.0,5017.2,2100.0,1985.0,1747.0,7.1796
12552,Voltage Regulator/Reference,Automotive,Auto Infotainment,238.812,99479.515,52181.914,38504.754,3854.0,2710.0,2555.0,7794.0,5771.0,5425.0,2199.0,2100.0,1985.0,10.1925
12553,Voltage Regulator/Reference,Automotive,Auto Infotainment,216.885,103400.887,50655.933,35784.353,3941.0,3854.0,2710.0,8040.0,7794.0,5771.0,2368.0,2199.0,2100.0,11.378699999999998
12554,Voltage Regulator/Reference,Automotive,Auto Infotainment,335.912,128025.114,69250.263,47488.543000000005,4293.0,3941.0,3854.0,8696.0,8040.0,7794.0,2568.0,2368.0,2199.0,20.7881
12555,Voltage Regulator/Reference,Automotive,Auto Infotainment,452.672,138115.036,89681.767,62153.99700000001,4482.0,4293.0,3941.0,9003.0,8696.0,8040.0,2636.0,2568.0,2368.0,28.2134
12558,Voltage Regulator/Reference,Consumer,Audio,0.0,101291.063,0.0,0.0,2710.0,2555.0,2460.24,5771.0,5425.0,5017.2,2100.0,1985.0,1747.0,0.0691
12559,Voltage Regulator/Reference,Consumer,Audio,0.0,99479.515,0.0,0.0,3854.0,2710.0,2555.0,7794.0,5771.0,5425.0,2199.0,2100.0,1985.0,0.0888
12560,Voltage Regulator/Reference,Consumer,Audio,0.0,103400.887,0.0,0.0,3941.0,3854.0,2710.0,8040.0,7794.0,5771.0,2368.0,2199.0,2100.0,0.0774
12561,Voltage Regulator/Reference,Consumer,Audio,0.0,128025.114,0.0,0.0,4293.0,3941.0,3854.0,8696.0,8040.0,7794.0,2568.0,2368.0,2199.0,0.1016
