,Company,Year,CompanySpend,TotalSpend,DevSpends,MarketSpends,SubMarketSpends,Cogs,Cogs_1,Cogs_2,Revenue,Revenue_1,Revenue_2,Ebitda,Ebitda_1,Ebitda_2,Device_Amplifier/Comparator,Device_Analog Application Specific IC,Device_Data Converters,Device_Interface,Device_Voltage Regulator/Reference,Market_Automotive,Market_Computer Peripherals & Storage,Market_Computer Platforms,Market_Consumer,Market_Industrial,Market_Wired Communications,Market_Wireless Communications,SubMarket_Appliance,SubMarket_Audio,SubMarket_Auto ADAS,SubMarket_Auto Infotainment,SubMarket_Auto Powertrain,SubMarket_Carrier,SubMarket_Connected Consumer,SubMarket_DC Network & Threat Mitigation,SubMarket_Data Center Servers,SubMarket_Desktop PCs,SubMarket_Enterprise/SOHO,SubMarket_Flash Cards/Drives,SubMarket_Handset,SubMarket_Infrastructure,SubMarket_Manufacturing Equipment,SubMarket_Media Tablets,SubMarket_Medical,SubMarket_Military/Aerospace,SubMarket_Notebook PCs,SubMarket_Other Auto & Aftermarket,SubMarket_Other Computer Products,SubMarket_Other Consumer,SubMarket_Other Industrial,SubMarket_Other Peripherals,SubMarket_Other Storage,SubMarket_Other Wired,SubMarket_Other Wireless,SubMarket_Power & Energy,SubMarket_STB,SubMarket_Smart Cards,SubMarket_TV,SubMarket_Tablet PCs,SubMarket_Test & Measurement,SubMarket_Video Games
24,AMETEK,2021,5.146566751838545,466.615,39871.494,245502.837,60052.591,3633.9,2996.52,3370.9,5546.5,4540.0,5158.6,1600.8,1283.2,1411.4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,AMETEK,2022,5.9134,519.7629999999999,44223.185999999994,272578.716,67103.535,4005.26,3633.9,2996.52,6150.5,5546.5,4540.0,1820.1,1600.8,1283.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,AMETEK,2023,7.626667770915716,639.1550000000001,47897.781,288592.565,75078.767,4196.999999999884,4005.26,3633.9,6629.25,6150.5,5546.5,1996.54,1820.1,1600.8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,AMETEK,2024,7.7205,647.272,48501.823,311968.948,81023.361,4460.857142856927,4196.999999999884,4005.26,7018.1,6629.25,6150.5,2154.29,1996.54,1820.1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,AMETEK,2018,2.734549097764611,599.933,309095.924,202444.977,52627.04,3186.31,2861.37,2547.6,4845.9,4300.2,3840.1,1261.6,1068.2,1007.2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,AMETEK,2019,2.978,555.5809999999999,299683.61199999996,190906.584,48480.543999999994,3370.9,3186.31,2861.37,5158.6,4845.9,4300.2,1411.4,1261.6,1068.2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,AMETEK,2020,2.6794,625.4159999999999,328933.757,197047.823,54473.791999999994,2996.52,3370.9,3186.31,4540.0,5158.6,4845.9,1283.2,1411.4,1261.6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,AMETEK,2021,4.093302567186619,775.2570000000001,392841.063,245502.837,72134.75200000001,3633.9,2996.52,3370.9,5546.5,4540.0,5158.6,1600.8,1283.2,1411.4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,AMETEK,2022,5.5275,907.534,421467.305,272578.716,80606.75200000001,4005.26,3633.9,2996.52,6150.5,5546.5,4540.0,1820.1,1600.8,1283.2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,AMETEK,2023,5.920950671812953,932.95,387035.438,288592.565,82743.456,4196.999999999884,4005.26,3633.9,6629.25,6150.5,5546.5,1996.54,1820.1,1600.8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
