,Company Name from Spend Tracker,Company Tag from S&P Global
164,Moog,Moog Inc. (NYSE:MOG.A)
165,Motorola Solutions,"Motorola Solutions, Inc. (NYSE:MSI)"
166,Nabtesco Corporation,Nabtesco Corporation (TSE:6268)
167,National Instruments,National Instruments Corporation
168,NCR,NCR Voyix Corporation (NYSE:VYX)
169,NEC,NEC Corporation (TSE:6701)
170,NetApp,"NetApp, Inc. (NasdaqGS:NTAP)"
171,Nihon Kohden,Nihon Kohden Corporation (TSE:6849)
172,Nikon,Nikon Corporation (TSE:7731)
173,Ningbo Joyson Electronic Corp,Ningbo Joyson Electronic Corp. (SHSE:600699)
174,Nintendo,"Nintendo Co., Ltd. (TSE:7974)"
175,Nokia Solutions and Networks,Nokia Solutions and Networks Oy
176,Northrop Grumman,Northrop Grumman Corporation (NYSE:NOC)
177,Oki Electric,"Oki Electric Industry Co., Ltd. (TSE:6703)"
178,Olympus,Olympus Corporation (TSE:7733)
179,Omron,OMRON Corporation (TSE:6645)
180,OnePlus,"OnePlus Technology (Shenzhen) Co., Ltd."
181,OPPO,"Guangdong OPPO Mobile Telecommunications Corp., Ltd."
182,Oracle,Oracle Corporation (NYSE:ORCL)
183,Osram,OSRAM Licht AG (HMSE:OSR)
184,Otis,Otis Worldwide Corporation (NYSE:OTIS)
185,Panasonic,Panasonic Holdings Corporation (TSE:6752)
186,Pantech,Pantech Group Holdings Berhad (KLSE:PANTECH)
187,Parker Hannifin Corporation,Parker-Hannifin Corporation (NYSE:PH)
188,Perkin Elmer,
189,Philips,Koninklijke Philips N.V. (ENXTAM:PHIA)
190,Pioneer,Pioneer Natural Resources Company (NYSE:PXD)
191,Pitney Bowes,Pitney Bowes Inc. (NYSE:PBI)
192,Raytheon,Raytheon Technologies Corporation
193,Raytheon Technologies,
194,Razer Inc.,Razer Inc.
195,Resideo,"Resideo Technologies, Inc. (NYSE:REZI)"
196,Ricoh,"Ricoh Company, Ltd. (TSE:7752)"
197,Roche,Roche Holding AG (SWX:ROG)
198,Rockwell Automation,"Rockwell Automation, Inc. (NYSE:ROK)"
199,Rockwell Collins,
200,Rohde & Schwarz,Rohde & Schwarz GmbH & Co. KG
201,Rolls-Royce Holding,Rolls-Royce Holdings plc (LSE:RR.)
202,Roper Technologies,"Roper Technologies, Inc. (NasdaqGS:ROP)"
203,Safran,Safran SA (ENXTPA:SAF)
204,Samsung Electronics,"Samsung Electronics Co., Ltd. (KOSE:A005930)"
205,Samsung SDI,"Samsung SDI Co., Ltd. (KOSE:A006400)"
206,Sandvik AB,Sandvik AB (publ) (OM:SAND)
207,Schindler Holding AG,Schindler Holding AG (SWX:SCHN)
208,Schlumberger,Schlumberger Limited (NYSE:SLB)
209,Schneider Electric,Schneider Electric S.E. (ENXTPA:SU)
210,Seagate Technology,Seagate Technology Holdings plc (NasdaqGS:STX)
211,Seiko Epson,Seiko Epson Corporation (TSE:6724)
212,Sharp,Sharp Corporation (TSE:6753)
213,Shimadzu,Shimadzu Corporation (TSE:7701)
214,Sichuan Changhong Electric,"Sichuan Changhong Electric Co.,Ltd. (SHSE:600839)"
215,Siemens,Siemens Aktiengesellschaft (XTRA:SIE)
216,SiriusXM,Sirius XM Holdings Inc. (NasdaqGS:SIRI)
217,Sitronics,JSC Sitronics
218,Skyworth,Skyworth Group Limited (SEHK:751)
219,Smiths Group,Smiths Group plc (LSE:SMIN)
220,Sonova,Sonova Holding AG (SWX:SOON)
221,Sony,Sony Group Corporation (TSE:6758)
222,Spectris,Spectris plc (LSE:SXS)
223,SPX Flow,"SPX FLOW, Inc."
224,SPX Technologies,"SPX Technologies, Inc. (NYSE:SPXC)"
225,Stanley Black & Decker,"Stanley Black & Decker, Inc. (NYSE:SWK)"
226,Stryker,Stryker Australia Pty. Ltd.
227,Tatung,"Tatung Co., Ltd. (TWSE:2371)"
228,TCL,TCL Technology Group Corporation (SZSE:000100)
229,Technicolor (Vantiva),Vantiva S.A. (ENXTPA:VANTI)
230,Techtronic Industries,Techtronic Industries Company Limited (SEHK:669)
231,Tellabs,Tellabs Inc.
232,Teradyne,"Teradyne, Inc. (NasdaqGS:TER)"
233,Tesla,"Tesla, Inc. (NasdaqGS:TSLA)"
234,Textron,Textron Inc. (NYSE:TXT)
235,Thales Group,Thales S.A. (ENXTPA:HO)
236,Thermo Fisher Scientific,Thermo Fisher Scientific Inc. (NYSE:TMO)
237,Thyssenkrupp,thyssenkrupp AG (XTRA:TKA)
238,Tokyo Electron,
239,TomTom,TomTom N.V. (ENXTAM:TOM2)
240,Toshiba,Toshiba Corporation (TSE:6502)
241,Trane Technologies,Trane Technologies plc (NYSE:TT)
242,Transsion,"Shenzhen Transsion Holdings Co., Ltd. (SHSE:688036)"
243,Unisys,Unisys Corporation (NYSE:UIS)
244,United Technologies,United Technologies Corp.
245,Valeo,Valeo SE (ENXTPA:FR)
246,Varian Medical Systems,"Varian Medical Systems, Inc."
247,Veoneer,"Veoneer, Inc."
